Group,Day,Month,Year,SimBL,SimCC,SimIC,SimLS,SimPS,SimNS,SimTS,SimBE,SimNL,SimMC,ObsBL,ObsCC,ObsIC,ObsLS,ObsPS,ObsNS,ObsTS,ObsBE,ObsNL,ObsMC,Score,BEtype
A,1,6,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.00,0
A,11,7,2008,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0.91,0
A,10,9,2009,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.90,S
A,1,4,2006,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0.81,S
A,25,6,2010,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0.78,Z
A,10,9,2006,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0.70,Z
A,13,5,2009,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.66,0
A,23,5,2007,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.64,S
A,23,5,2006,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0.62,0
A,11,8,2007,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0.60,P
A,22,5,2008,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0.59,S
A,1,9,2010,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.59,0
A,14,9,2010,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.58,0
A,7,6,2010,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.52,Z
B,8,5,2009,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.47,0
B,20,6,2010,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0.46,P
B,10,6,2010,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0.45,S
B,11,6,2008,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0.45,0
B,23,5,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.44,0
B,15,6,2009,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.42,0
B,13,6,2010,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0.40,S
B,1,9,2010,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.40,P
B,17,6,2006,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.37,Z
B,29,5,2007,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.36,Z
B,15,6,2009,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.36,P
B,9,6,2010,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.32,0
B,30,8,2010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.25,0
B,26,5,2006,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.24,P
C,1,6,2010,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0.66,0
C,11,8,2007,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0.45,0
C,19,7,2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.40,P
C,26,5,2006,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.33,0
C,2,8,2008,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.32,P
C,12,8,2007,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.25,0
C,2,6,2010,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.23,P
C,17,6,2006,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.22,Z
C,20,6,2010,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.03,0
